date,NIFTY_ALPHA_50,NIFTY500_MOMENTUM_50,NIFTY500_MULTIFACTOR_MQVLV_50,NIFTY500_QUALITY_50,NIFTY500_VALUE_50,NIFTY500_LOW_VOLATILITY_50,NIFTY_HIGH_BETA_50,NIFTY_500
2005-08-26,2061.38,1394.7,1198,1117.34,1157.3,1190.41,,2094.9
2005-08-29,2055.35,1400.06,1196.81,1107.46,1152.63,1180.75,,2083
2005-08-30,2094.07,1416.86,1214.82,1127.01,1166.37,1198.36,,2110.4
2005-08-31,2105.66,1430.37,1225.29,1134.2,1182.54,1206.59,,2126.35
2005-09-01,2131.43,1440.64,1235.31,1148.13,1190.06,1216.23,,2143.6
2005-09-02,2131.37,1444.64,1238.03,1152.93,1198.36,1217.81,,2150.94
2005-09-05,2132.81,1461.96,1245.49,1156.18,1198.93,1226.04,,2157.75
2005-09-06,2128.16,1464.76,1249.36,1160.42,1207.84,1230.22,,2161.5
2005-09-08,2146.22,1480.08,1255.59,1169.22,1221.77,1241.75,,2179.5
2005-09-09,2142.06,1474.37,1252.1,1165.67,1220.63,1237.1,,2179.15
2005-09-12,2157.83,1487.56,1258.85,1174.3,1241.16,1248.97,,2205.7
